iter	Passed	Remaining
895	3990	218694
896	3994	218668
897	3998	218636
898	4002	218623
899	4007	218605
900	4011	218601
901	4015	218591
902	4019	218556
903	4023	218524
904	4027	218496
905	4031	218464
906	4035	218428
907	4039	218393
908	4043	218366
909	4047	218344
910	4051	218304
911	4055	218279
912	4059	218248
913	4063	218217
914	4067	218186
915	4072	218198
916	4076	218214
917	4081	218225
918	4086	218224
919	4090	218202
920	4094	218174
921	4097	218127
922	4101	218095
923	4105	218073
924	4110	218059
925	4114	218037
926	4118	218021
927	4122	217990
928	4126	217968
929	4130	217942
930	4134	217929
931	4138	217896
932	4142	217861
933	4146	217830
934	4150	217815
935	4154	217793
936	4158	217767
937	4162	217738
938	4166	217715
939	4171	217728
940	4176	217715
941	4180	217693
942	4184	217662
943	4188	217643
944	4192	217618
945	4196	217593
946	4200	217573
947	4205	217594
948	4210	217606
949	4214	217590
950	4218	217568
951	4222	217536
952	4225	217491
953	4230	217468
954	4234	217455
955	4238	217422
956	4242	217399
957	4246	217364
958	4249	217334
959	4254	217320
960	4258	217301
961	4262	217277
962	4266	217242
963	4270	217228
964	4275	217236
965	4279	217224
966	4284	217239
967	4288	217248
968	4293	217233
969	4297	217218
970	4301	217188
971	4305	217147
972	4308	217104
973	4312	217082
974	4316	217050
975	4320	217016
976	4324	216989
977	4328	216949
978	4332	216925
979	4336	216900
980	4340	216871
981	4344	216846
982	4347	216807
983	4351	216785
984	4356	216776
985	4360	216754
986	4364	216724
987	4372	216912
988	4376	216906
989	4382	216937
990	4386	216938
991	4391	216930
992	4395	216904
993	4399	216881
994	4403	216854
995	4407	216829
996	4411	216815
997	4415	216799
998	4419	216787
999	4424	216808
1000	4429	216821
1001	4433	216813
1002	4438	216802
1003	4441	216766
1004	4445	216733
1005	4449	216711
1006	4453	216681
1007	4457	216652
1008	4462	216656
1009	4466	216653
1010	4470	216640
1011	4475	216635
1012	4479	216616
1013	4483	216595
1014	4487	216559
1015	4491	216542
1016	4495	216528
1017	4499	216511
1018	4504	216521
1019	4508	216486
1020	4512	216464
1021	4516	216445
1022	4520	216425
1023	4524	216400
1024	4528	216387
1025	4532	216360
1026	4536	216336
1027	4540	216308
1028	4544	216281
1029	4548	216258
1030	4553	216279
1031	4558	216296
1032	4563	216312
1033	4567	216310
1034	4571	216297
1035	4575	216267
1036	4580	216257
1037	4584	216242
1038	4588	216215
1039	4592	216188
1040	4596	216165
1041	4600	216158
1042	4604	216142
1043	4608	216117
1044	4612	216093
1045	4616	216072
1046	4620	216048
1047	4624	216030
1048	4628	216002
1049	4633	215992
1050	4637	215981
1051	4641	215956
1052	4645	215921
1053	4649	215900
1054	4653	215869
1055	4657	215849
1056	4663	215951
1057	4669	215989
1058	4673	215983
1059	4677	215966
1060	4681	215935
1061	4685	215916
1062	4689	215884
1063	4693	215867
1064	4698	215897
1065	4704	215976
1066	4709	216002
1067	4714	215997
1068	4718	215981
1069	4722	215958
1070	4727	215955
1071	4730	215928
1072	4736	215975
1073	4742	216048
1074	4747	216069
1075	4752	216087
1076	4756	216085
1077	4762	216129
1078	4767	216158
1079	4772	216172
1080	4777	216177
1081	4782	216202
1082	4788	216271
1083	4793	216330
1084	4799	216361
1085	4803	216368
1086	4808	216369
1087	4813	216394
1088	4817	216376
1089	4822	216392
1090	4827	216418
1091	4831	216403
1092	4837	216462
1093	4841	216447
1094	4846	216456
1095	4850	216432
1096	4856	216494
1097	4861	216531
1098	4866	216529
1099	4871	216557
1100	4876	216572
1101	4881	216585
1102	4886	216615
1103	4891	216662
1104	4899	216785
1105	4906	216900
1106	4911	216932
1107	4917	216979
1108	4921	216989
1109	4926	216984
1110	4931	217016
1111	4936	217029
1112	4940	217013
1113	4945	217039
1114	4951	217103
1115	4956	217128
1116	4961	217140
1117	4967	217198
1118	4972	217229
1119	4978	217257
1120	4983	217309
1121	4988	217330
1122	4994	217377
1123	4999	217396
1124	5005	217451
1125	5010	217480
1126	5014	217473
1127	5020	217497
1128	5024	217500
1129	5028	217484
1130	5035	217557
1131	5040	217589
1132	5046	217650
1133	5050	217622
1134	5054	217603
1135	5059	217609
1136	5063	217588
1137	5067	217570
1138	5071	217552
1139	5075	217529
1140	5079	217508
1141	5083	217489
1142	5087	217477
1143	5091	217458
1144	5096	217438
1145	5100	217414
1146	5104	217400
1147	5108	217391
1148	5113	217407
1149	5118	217419
1150	5122	217409
1151	5126	217394
1152	5130	217360
1153	5134	217332
1154	5138	217310
1155	5142	217284
1156	5146	217262
1157	5150	217243
1158	5154	217231
1159	5159	217214
1160	5163	217192
1161	5167	217178
1162	5171	217163
1163	5175	217141
1164	5179	217122
1165	5183	217098
1166	5187	217077
1167	5191	217055
1168	5195	217035
1169	5199	217010
1170	5203	216988
1171	5207	216954
1172	5211	216942
1173	5215	216914
1174	5219	216901
1175	5223	216875
1176	5228	216866
1177	5232	216859
1178	5236	216833
1179	5240	216814
1180	5244	216790
1181	5248	216757
1182	5252	216741
1183	5256	216735
1184	5261	216729
1185	5265	216711
1186	5269	216699
1187	5273	216679
1188	5277	216660
1189	5281	216641
1190	5285	216627
1191	5290	216615
1192	5294	216591
1193	5298	216570
1194	5302	216549
1195	5307	216566
1196	5311	216562
1197	5316	216555
1198	5320	216540
1199	5324	216514
1200	5328	216490
1201	5332	216476
1202	5336	216455
1203	5340	216437
1204	5344	216419
1205	5348	216416
1206	5353	216414
1207	5357	216396
1208	5362	216399
1209	5366	216380
1210	5370	216362
1211	5374	216341
1212	5378	216321
1213	5382	216294
1214	5386	216266
1215	5390	216262
1216	5395	216271
1217	5400	216276
1218	5404	216263
1219	5409	216275
1220	5413	216285
1221	5417	216265
1222	5421	216234
1223	5425	216213
1224	5430	216213
1225	5434	216212
1226	5438	216189
1227	5442	216166
1228	5446	216146
1229	5451	216153
1230	5455	216139
1231	5460	216137
1232	5465	216160
1233	5470	216170
1234	5474	216160
1235	5478	216149
1236	5482	216120
1237	5486	216097
1238	5490	216079
1239	5494	216058
1240	5498	216034
1241	5502	216011
1242	5506	215994
1243	5510	215977
1244	5515	215988
1245	5519	215966
1246	5523	215947
1247	5527	215924
1248	5531	215903
1249	5535	215880
1250	5539	215855
1251	5543	215840
1252	5547	215819
1253	5552	215840
1254	5556	215818
1255	5560	215793
1256	5564	215784
1257	5568	215762
1258	5572	215745
1259	5576	215728
1260	5581	215714
1261	5584	215687
1262	5589	215670
1263	5593	215670
1264	5598	215691
1265	5603	215699
1266	5607	215693
1267	5611	215674
1268	5615	215649
1269	5619	215634
1270	5623	215614
1271	5627	215592
1272	5631	215571
1273	5636	215561
1274	5640	215574
1275	5646	215621
1276	5651	215637
1277	5656	215629
1278	5659	215606
1279	5664	215591
1280	5668	215569
1281	5672	215552
1282	5676	215530
1283	5680	215508
1284	5684	215486
1285	5688	215465
1286	5692	215449
1287	5696	215437
1288	5700	215420
1289	5705	215446
1290	5709	215433
1291	5713	215415
1292	5717	215395
1293	5722	215375
1294	5725	215348
1295	5729	215322
1296	5733	215313
1297	5738	215299
1298	5742	215278
1299	5747	215292
1300	5750	215260
1301	5754	215243
1302	5758	215227
1303	5762	215202
1304	5766	215187
1305	5771	215175
1306	5775	215157
1307	5778	215127
1308	5782	215093
1309	5786	215085
1310	5791	215090
1311	5796	215096
1312	5800	215091
1313	5804	215068
1314	5808	215034
1315	5812	215012
1316	5816	214996
1317	5820	214979
1318	5824	214959
1319	5828	214936
1320	5832	214916
1321	5836	214895
1322	5840	214873
1323	5844	214877
1324	5848	214855
1325	5852	214838
1326	5856	214825
1327	5861	214843
1328	5866	214845
1329	5870	214827
1330	5874	214815
1331	5878	214792
1332	5883	214794
1333	5888	214803
1334	5891	214772
1335	5895	214748
1336	5899	214726
1337	5903	214703
1338	5907	214689
1339	5911	214670
1340	5915	214654
1341	5919	214640
1342	5923	214618
1343	5927	214601
1344	5931	214579
1345	5935	214561
1346	5940	214561
1347	5943	214526
1348	5948	214538
1349	5952	214513
1350	5956	214493
1351	5960	214488
1352	5965	214492
1353	5969	214484
1354	5973	214462
1355	5977	214444
1356	5981	214419
1357	5985	214408
1358	5989	214387
1359	5993	214371
1360	5997	214349
1361	6002	214346
1362	6005	214313
1363	6009	214290
1364	6013	214276
1365	6018	214283
1366	6022	214265
1367	6026	214246
1368	6030	214218
1369	6034	214200
1370	6038	214198
1371	6043	214202
1372	6049	214235
1373	6054	214257
1374	6059	214268
1375	6063	214261
1376	6067	214255
1377	6071	214232
1378	6075	214210
1379	6079	214192
1380	6083	214170
1381	6087	214153
